ID,Problem Name,Likes,Dislikes,"Like
Ratio",Topics,Difficulty,Accepted,Submissions,"Accept
Rate"
1,Two Sum,64233,2362,96.50%,"Array, Hash Table",Easy,18775447,33356115,56.30%
3,Longest Substring Without Repeating Characters,43085,2108,95.30%,"Hash Table, String, Sliding Window",Medium,8125745,21644985,37.50%
53,Maximum Subarray,36521,1551,95.90%,"Array, Divide and Conquer, Dynamic Programming",Medium,5367880,10236028,52.40%
42,Trapping Rain Water,34977,637,98.20%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",Hard,3068530,4661427,65.80%
2,Add Two Numbers,34747,6952,83.30%,"Linked List, Math, Recursion",Medium,6188530,13190186,46.90%
121,Best Time to Buy and Sell Stock,34138,1338,96.20%,"Array, Dynamic Programming",Easy,6935162,12447243,55.70%
15,3Sum,33967,3171,91.50%,"Array, Two Pointers, Sorting",Medium,5123421,13598932,37.70%
11,Container With Most Water,32247,2076,94.00%,"Array, Two Pointers, Greedy",Medium,4453198,7638367,58.30%
5,Longest Palindromic Substring,31486,1936,94.20%,"Two Pointers, String, Dynamic Programming",Medium,4143320,11383601,36.40%
4,Median of Two Sorted Arrays,30865,3471,89.90%,"Array, Binary Search, Divide and Conquer",Hard,3683340,8243320,44.70%
33,Search in Rotated Sorted Array,28775,1736,94.30%,"Array, Binary Search",Medium,3878340,8942728,43.40%
20,Valid Parentheses,26577,1930,93.20%,"String, Stack",Easy,6557699,15304847,42.80%
238,Product of Array Except Self,24807,1605,93.90%,"Array, Prefix Sum",Medium,3939470,5787075,68.10%
287,Find the Duplicate Number,24778,5469,81.90%,"Array, Two Pointers, Binary Search, Bit Manipulation",Medium,2304200,3636956,63.40%
200,Number of Islands,24240,585,97.60%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Medium,3669298,5831608,62.90%
21,Merge Two Sorted Lists,23986,2349,91.10%,"Linked List, Recursion",Easy,5584063,8299072,67.30%
560,Subarray Sum Equals K,23931,787,96.80%,"Array, Hash Table, Prefix Sum",Medium,1995188,4334937,46.00%
56,Merge Intervals,23851,874,96.50%,"Array, Sorting",Medium,3461133,6927809,50.00%
70,Climbing Stairs,23685,983,96.00%,"Math, Dynamic Programming, Memoization",Easy,4524449,8428275,53.70%
206,Reverse Linked List,23555,550,97.70%,"Linked List, Recursion",Easy,5627209,7061837,79.70%
198,House Robber,22751,489,97.90%,"Array, Dynamic Programming",Medium,3129179,5952355,52.60%
22,Generate Parentheses,22623,1057,95.50%,"String, Dynamic Programming, Backtracking",Medium,2541475,3273445,77.60%
34,Find First and Last Position of Element in Sorted Array,22406,604,97.40%,"Array, Binary Search",Medium,2894809,6100403,47.50%
146,LRU Cache,22364,1176,95.00%,"Hash Table, Linked List, Design, Doubly-Linked List",Medium,2262100,4932014,45.90%
300,Longest Increasing Subsequence,22217,492,97.80%,"Array, Binary Search, Dynamic Programming",Medium,2341643,4011674,58.40%
128,Longest Consecutive Sequence,21993,1190,94.90%,"Array, Hash Table, Union Find",Medium,2822883,6009716,47.00%
169,Majority Element,21673,767,96.60%,"Array, Hash Table, Divide and Conquer, Sorting, Counting",Easy,4703616,7141781,65.90%
49,Group Anagrams,21083,722,96.70%,"Array, Hash Table, String, Sorting",Medium,4099543,5738491,71.40%
55,Jump Game,21046,1428,93.60%,"Array, Dynamic Programming, Greedy",Medium,2817230,7060283,39.90%
23,Merge k Sorted Lists,20735,769,96.40%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",Hard,2658537,4613227,57.60%
75,Sort Colors,20681,734,96.60%,"Array, Two Pointers, Sorting",Medium,3222462,4719836,68.30%
31,Next Permutation,20506,5019,80.30%,"Array, Two Pointers",Medium,1984209,4530222,43.80%
19,Remove Nth Node From End of List,20493,873,95.90%,"Linked List, Two Pointers",Medium,3725620,7479655,49.80%
39,Combination Sum,20321,502,97.60%,"Array, Backtracking",Medium,2750275,3652606,75.30%
46,Permutations,20312,368,98.20%,"Array, Backtracking",Medium,2769015,3414936,81.10%
322,Coin Change,20304,518,97.50%,"Array, Dynamic Programming, Breadth-First Search",Medium,2518277,5341780,47.10%
17,Letter Combinations of a Phone Number,20239,1103,94.80%,"Hash Table, String, Backtracking",Medium,2704003,4193541,64.50%
189,Rotate Array,20044,2136,90.40%,"Array, Math, Two Pointers",Medium,3418272,7833356,43.60%
14,Longest Common Prefix,19944,4809,80.60%,"Array, String, Trie",Easy,4938005,10703059,46.10%
152,Maximum Product Subarray,19809,800,96.10%,"Array, Dynamic Programming",Medium,1774617,5017135,35.40%
239,Sliding Window Maximum,19684,782,96.20%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",Hard,1440708,3005514,47.90%
76,Minimum Window Substring,19404,819,96.00%,"Hash Table, String, Sliding Window",Hard,1883587,4094627,46.00%
48,Rotate Image,19164,918,95.40%,"Array, Math, Matrix",Medium,2481566,3158719,78.60%
84,Largest Rectangle in Histogram,18756,360,98.10%,"Array, Stack, Monotonic Stack",Hard,1311789,2719917,48.20%
347,Top K Frequent Elements,18724,827,95.80%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",Medium,3075171,4750138,64.70%
78,Subsets,18609,323,98.30%,"Array, Backtracking, Bit Manipulation",Medium,2694756,3310004,81.40%
283,Move Zeroes,18450,550,97.10%,"Array, Two Pointers",Easy,4405752,6985713,63.10%
139,Word Break,18268,876,95.40%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",Medium,2171984,4468350,48.60%
